단어,품사,뜻
military,형용사 ,"군사의, 무력의 (→civilian)"
,명사 ,"군인들, 군대"
weapons,,무기
report,동사 ,"알리다, 발표하다, 전하다"
,동사 ,(신문방송에서) 보도하다
,명사 ,보도
,명사 ,(필요한 정보가 담긴) 기록[보고]
says,명사 ,say의 3인칭 단수 직설법 현재형.
arms,명사 ,"(특히 군대의) 무기 (→firearm, small arms)"
,명사 ,(=coat of arms)
used,형용사 ,익숙한
use,동사 ,"쓰다, 사용[이용]하다"
,동사 ,(특정한 양의 액체물질 등을) 소비하다[쓰다]
,명사 ,"사용, 이용"
,명사 ,"용도, 쓰임새 (→single-use)"
people,명사 ,(‘사람’의 복수 의미로) 사람들
,명사 ,(일반적인) 사람들[사람]
,동사 ,"…에 살다, …을 …으로 가득 채우다"
former,형용사 ,(시간상으로) 예전[옛날]의
,형용사 ,(특정한 위치나 지위에 있던) 과거[이전]의
,형용사 ,(둘 중에서) 전자의 … (→latter)
named,형용사 ,"지명된, 지정의; 유명한"
produced,형용사 ,"한 방향으로 길게 자란, 껑충한."
coup,명사 ,쿠데타
,명사 ,"(힘든 일의) 성공, 대단한 성취"
country,명사 ,"국가, 나라"
,명사 ,(특정한 특징이 있는) 지역[고장] (→backcountry)
,명사 ,"(전) 국민, 국가 (전체) (→mother country, the old country, up-country)"
producing,형용사 ,[종종 복합어를 이루어] 산출[생산]하는
vast,형용사 ,(범위·크기·양 등이) 어마어마한[방대한/막대한] (=huge)
range,명사 ,(특정 종류에 속하는 사물들의) 다양성
,명사 ,"(변화차이의) 범위[폭], -대(臺), -대(帶)"
,동사 ,(양크기 등의 범위가) A에서 B 사이이다[A에서 B까지 다양하다]
,동사 ,"(많은 다양한 것을) 포함[포괄]하다, (범위가 …에서 …에) 이르다 (→wide-ranging)"
thanks,감탄사 ,"고맙습니다, 고마워"
,감탄사 ,"네, 고맙습니다(남의 제의를 정중히 받아들일 때)"
,명사 ,"감사(의 말행동) (→vote of thanks), (=gratitude)"
supplies,명사 ,저장품
company,명사 ,(Abbr.) Co.. 회사
,명사 ,(함께 일하거나 공연하는) 단체
,명사 ,함께 있음
least,"한정사, 대명사 ","(크기양정도 등이) 가장 적은[작은], 최소(의)"
,부사 ,"가장 덜[적게/작게], 최소로"
country,명사 ,"국가, 나라"
,명사 ,(특정한 특징이 있는) 지역[고장] (→backcountry)
,명사 ,"(전) 국민, 국가 (전체) (→mother country, the old country, up-country)"
top,명사 ,"맨 위 (부분), 꼭대기, 정상 (→rooftop, treetop)"
,명사 ,"(납작한) 위[윗면] (→hardtop, roll-top desk, tabletop)"
,형용사 ,"맨 위의, 꼭대기의, 최고의"
,형용사 ,아주 좋은
UN,약어 ,유엔(United Nations)
officials,체육학용어 ,"<공통, 경기> 임원(任員)"
say,동사 ,"말하다, …라고 (말)하다"
,동사 ,(특정한 어구를 반복해서) (말)하다[읊조리다]
,명사 ,"발언권, 결정권"
among,전치사 ,"…에 둘러싸인, …의 가운데에"
,전치사 ,…중[사이]에
,전치사 ,"(셋 이상이 관련된 분배·선택 시) …간에, …중에서"
despite,전치사 ,…에도 불구하고 (=in spite of)
,전치사 ,자기도 모르게[엉겁결에] (=in spite of)
Western,명사 ,"웨스턴(Fielding, Tom Jones 속의 무학(無學)이고 성질이 급한 지주; 딸 Sophia는 Tom과 결혼함)"
led,명사 ,"lead의 과거, 과거분사"
,명사 ,"<‘… 주도의, …이 조직한’의 뜻을 나타냄>"
sanctions,정치학 ,<용어>제재(制裁)
intended,형용사 ,"(성취·도달) 대상[목표]으로 삼은, 의도[겨냥]하는"
,형용사 ,(…을 위해) 만들어진[계획된] (→unintended)
isolate,동사 ,"격리하다, 고립시키다"
,동사 ,(별도로 알아보거나 다루기 위해 상황·문제·생각 등을) 분리[구분]하다
,동사 ,(연구 대상이 되는 물질·세포 등을) 따로 떼어내다[분리하다]
home,명사 ,(특히 가족과 함께 사는) 집[가정] (→stay-at-home)
,명사 ,"(사고 팔 수 있는 재산으로서의) 주택 (→mobile home, second home, stately home)"
,형용사 ,"집의, 가정의"
,형용사 ,"집에서 만든, 가정[가족]용의"
carry,동사 ,"(이동 중에) 들고[데리고] 있다, 나르다"
,동사 ,"휴대하다, 가지고 다니다"
,동사 ,(물·전기 등을) 실어 나르다[전달하다]
atrocities,,잔학한 행위
oppose,동사 ,(계획·정책 등에) 반대하다 (→propose)
,동사 ,(시합 등에서 누구와) 겨루다
engulf,동사 ,"완전히 에워싸다, 휩싸다"
,동사 ,(강한 감정 등이) 사로잡다
violence,명사 ,"폭행, 폭력"
,명사 ,"격렬함, 맹렬함"
since,전치사 ,…부터[이후]
,전치사 ,(화가 나서 하는 말로) 언제부터 (…했다고 그래)?
,접속사 ,"…한 이후로, …한 때로부터, …한 지"
,접속사 ,"… 때문에, …므로[여서]"
opponents,명사 ,반대자
